"";"Country";"HDI";"Life.exp";"Exp.school.";"Mean.school";"GNI";"HDI.FM";"Life.expFM";"Exp.SchoolFM";"Mean.SchoolFM";"Est.GNIFM";"Edu2.FM";"Labour.FM";"fert";"mean04";"mean.length";"child.mort"
"83";"Lesotho";0,496532148690262;49,8;11,14094;5,874752222;3305,904662;0,953152092185043;1,00403225806452;1,10214884508295;1,23730398528045;0,65056130910416;1,15461741424802;0,802721088435374;2,99;10,8338037004;21;177
"84";"Liberia";0,429695109001838;60,9;9,5;4,09;804,9491373;0,788816150236125;1,03171953255426;0,717741935483871;0,439108061749571;0,728401655533136;0,390994657847876;0,898148117526865;4,72;21,1050874059396;14;153
"85";"Libya";0,724464011013942;71,6;14,03684;7,31;14910,916;0,949533136415816;1,08272859216255;1,03192672278904;1,1090387374462;0,331663746867219;1,32449856733524;0,39267014935857;2,3;NA;0;24
"86";"Lithuania";0,839421883128433;73,3;16,38875;12,38313007;24500,31387;1,03000932948747;1,16543574593796;1,06731547890845;0,989564031997534;0,731257440297022;0,944622213440947;0,8291232783019;1,53;NA;0;99
"87";"Luxembourg";0,891851626668635;81,7;13,88;11,71397591;58711,39454;0,970927377031296;1,05800756620429;1,01810512729747;0,940067414836567;0,683716063614925;1,00000010000001;0,784829751969731;1,68;NA;0;50
"88";"Madagascar";0,509865579019213;65,1;10,34581;6,046865;1328,268516;0,945453210014402;1,04716981132075;0,968799624742986;1,07696562502378;0,703508382097488;NA;0,956906060773481;4,41;12,3993393154219;21;121
"89";"Malawi";0,445415564514097;62,8;10,75378;4,29;747,3318516;0,907184523303499;1,032414910859;1,0057384715375;0,657088122605364;0,833344618080558;0,515263644773358;1,03803679141104;5,31;23,7712028938042;21;142
"90";"Malaysia";0,779245823894088;74,7;12,73096;9,964879036;22762,13945;0,947133650208987;1,06491712707182;1,0011924881891;0,929633300297324;0,515674518877896;0,912902253690628;0,588079490066225;1,95;0,341619432799886;21;157
"91";"Maldives";0,706365291698594;76,8;12,95338167;5,842967389;12328,39411;0,93686658314384;1,02638522427441;1,02057551775856;0,938308067253173;0,530749443046862;0,837366003062787;0,725161300645161;2,22;9,12718449624891;20;166
"92";"Mali";0,419288835985669;58;8,42596;2,04498744;1582,992166;0,775536613116413;0,993127147766323;0,799508670520231;0,549019393449016;0,437632725608046;0,512016754220854;0,624078602750394;6,83;18,1942109641858;20;16
"93";"Malta";0,838978340089051;80,6;14,40634;10,33;27930,29827;0,936737617494665;1,04314720812183;1,05260430237045;0,919412357036291;0,41678146010332;0,876488275033571;0,571644038128258;1,35;0,575629998004343;19;130
"94";"Mauritania";0,505867208280143;63,1;8,50027;3,77;3560,120094;0,815882680928555;1,04707792207792;0,989424899936802;0,565488565488566;0,297115877086916;0,396072796934866;0,362831875401363;4,61;20,7458154008237;21;164
"95";"Mauritius";0,776552444424174;74,4;15,57618;8,542904854;17469,7784;0,949960306935204;1,10014104372355;1,04745335459837;0,873861169110297;0,428813411785994;0,851508291528575;0,587601082500854;1,5;1,55021518261757;21;24
"96";"Mexico";0,756207911551713;76,8;13,06026;8,468326569;16055,96891;0,942658874847309;1,06451612903226;1,02257311001013;0,93166393794209;0,459845898986102;0,917783998796981;0,564455540091573;2,16;0,0655978839726026;21;23
"97";"Mongolia";0,726620588836606;69,4;14,59402;9,28;10729,38361;1,0279882418674;1,13169984686064;1,10188791163543;1,05771365149834;0,724497980366865;1,01417192900516;0,816738758558584;2,42;10,5058385487565;21;66
"98";"Montenegro";0,802201006809793;76,2;15,17869;11,15878201;14558,13363;0,953878458803543;1,05802968960864;1,04663499641628;0,889973506631793;0,613778384241279;0,889037454057129;0,750436310651816;1,66;0,686850809483595;2;116
"99";"Morocco";0,627953661567307;74;11,56266;4,369;6850,140706;0,827946086915786;1,02876712328767;0,912601094400661;0,606003752345216;0,304732681695833;0,684315023163468;0,349604207338087;2,74;2,52588355417834;21;75
"100";"Mozambique";0,416427561172889;55,1;9,28123;3,245;1123,435974;0,880546958514904;1,05410447761194;0,892146070691072;0,54453507099901;0,859521970218284;0,225806451612903;1,0326086569917;5,11;34,7383884550905;21;162
"101";"Myanmar";0,535560677621194;65,9;8,627;4,09;4607,674937;NA;1,0641627543036;NA;1,12137203166227;0,719145518345332;1,50262123197903;0,913730183079422;1,92;NA;0;122
"102";"Namibia";0,627616307670663;64,8;11,34352;6,22;9417,804268;0,980917928925879;1,08373590982287;1,01638537258951;1,03267973856209;0,680939484522872;0,96602787456446;0,858712717629982;3;3,74838334217438;20;110
"103";"Nepal";0,547536524936057;69,6;12,35305;3,31;2311,257043;0,907770234613775;1,0425219941349;1,02038086636851;0,50561797752809;0,7269225131695;0,462585034013605;0,917336427967906;2,23;9,26846295671454;21;93
"104";"Netherlands";0,921793511865192;81,6;17,92333;11,88930225;45435,1166;0,947138991871526;1,04516938519448;1,00461820284306;0,953985717043042;0,478578059142863;0,969220638793697;0,828611915622066;1,78;NA;0;84
"105";"New Zealand";0,913497655649251;81,8;19,15634;12,503;32689,36246;0,961162383044013;1,045;1,09639448620648;0,991715787796718;0,587558851730509;0,99621804167601;0,840108365794906;2,03;NA;0;119
"106";"Nicaragua";0,631432133731395;74,9;11,509;6;4456,540043;0,960379223336976;1,08344923504868;1,04304575965524;1,06013745704467;0,49621468140954;1,02976501305483;0,590286421794671;2,46;19,5628991119106;21;64
"107";"Niger";0,348254389301345;61,4;5,42265;1,45;908,3426097;0,728675917223475;1,02970297029703;0,787090922583464;0,406862745098039;0,371975471970776;0,314028314028314;0,445930896124702;7,54;15,8522818090814;21;178
"108";"Nigeria";0,514024001421638;52,8;8,98858;5,94666;5341,109794;0,840777952622949;1,01335877862595;0,83526198695819;0,687834109481708;0,61537230869608;NA;0,756671902584968;5,94;0,66943861517935;21;15
"109";"Norway";0,94387728002259;81,6;17,49259;12,631;64992,34046;0,996299951980958;1,05157232704403;1,08121920340464;1,01051960471788;0,784618224529099;1,0063433200667;0,890829746165534;1,93;NA;0;54
"110";"Oman";0,793019477069215;76,8;13,63765;7,997653484;34857,71384;0,909108121106595;1,05459387483356;1,02643387837698;0,822773839523327;0,317003900740998;0,825958203826619;0,351089594753443;2,81;0,74235651173424;21;13
"111";"Pakistan";0,538381761878611;66,2;7,78876;4,733353615;4866,183604;0,725727933486698;1,02909647779479;0,827731458583575;0,494907662359284;0,17900885457719;0,418950394307223;0,296743063388244;3,11;2,18290623455313;21;161
"112";"Panama";0,779677597089816;77,6;13,27974;9,347121239;18191,98793;0,996161381582616;1,08176943699732;1,08122815905338;1,05361417314181;0,606244533622628;1,08287321711855;0,599021982188654;2,44;0,764939163209666;21;46
"113";"Papua New Guinea";0,505259362104141;62,6;9,8997375;3,95;2462,837872;NA;1,07107438016529;NA;0,652173913043478;0,775215392057727;0,521679284239504;0,952702702702703;3,73;9,15151730918585;21;129
"114";"Paraguay";0,679164355632861;72,9;11,91154;7,703;7643,371463;0,955731940177392;1,06073446327684;1,0438500114501;0,959043500381582;0,576122626358262;0,856943475226797;0,656839608063646;2,83;1,40339564640347;21;59
"115";"Peru";0,734203129104298;74,6;13,0655;9,013469696;11015,23763;0,947217811823187;1,07371349095967;1,00761949539857;0,888328724800465;0,57519968277011;0,852041600926079;0,808056820946857;2,39;1,21238211767339;21;45
"116";"Philippines";0,668218345584203;68,2;11,27717;8,882855;7915,198857;0,976570551434988;1,10631741140216;1,0358352890436;1,05415617128463;0,515542195278427;1,03435833071854;0,64115433485042;3,01;1,59103247732798;21;76
"117";"Poland";0,842677827910993;77,4;15,46559;11,82433128;23176,79665;1,00662865835481;1,10899182561308;1,10731459631789;0,986096851076547;0,651665759415505;0,928700714787891;0,753466877808932;1,43;NA;0;118
"118";"Portugal";0,83009529677395;80,9;16,31495;8,245105743;25756,82103;0,984654507516106;1,07573812580231;1,02750862032016;0,967045789071597;0,69605391958271;0,989217235669461;0,829305197444805;1,31;NA;0;82
"119";"Qatar";0,849768364568487;78,2;13,78672;9,070602417;123124,3596;0,998341815143984;1,03363518758085;1,01304284764872;1,18488911192596;0,382858170168704;1,12931477510982;0,531937164397906;2;0,0411958013882422;12;147
"120";"Romania";0,792797419961585;74,7;14,2108;10,77712727;18107,95704;0,98929500271554;1,0997191011236;1,05872635533774;0,92325834966472;0,722161000186755;0,934953971408876;0,750385202995719;1,43;NA;0;12
"121";"Rwanda";0,483240523685543;64,2;10,27419;3,737537622;1458,039371;0,956723145206864;1,09656301145663;1,01921550209674;0,744186046511628;0,813784838491489;0,906002265005662;1,01289564314213;4,4;22,0199226997641;21;107
"122";"Samoa";0,702093944815722;73,4;12,8752102;10,31590441;5327,482686;0,95592293350743;1,09090909090909;1,056;1;0,47945649339297;1,07265403423758;0,402397249938427;4,09;19,9462932143949;21;47
